severity_score,code_complexity,lines_changed,developer_feedbacks,test_coverage,past_acceptance_rate,contains_security_fix,review_time,feedback_score,priority,accepted
4.370861069626263,4.542719682496979,183,2,0.4069359120313467,0.034851361639586464,0,22.673049504726905,2.2616925313286287,medium,1
9.556428757689245,5.260920934375193,352,2,0.9619826200003397,0.6245417973398115,0,20.724530211977395,2.4720670466854013,medium,1
7.587945476302646,8.690926538819623,36,3,0.5222292947703284,0.5467038721028958,0,10.334975115224221,1.1133342424903208,high,1
6.387926357773329,4.060039474539029,370,9,0.5531767061367565,0.20800381042530114,1,5.612263717649971,4.143741937641668,high,1
2.4041677639819286,8.826847163309541,37,5,0.9416010387873742,0.6431461427204163,0,7.8285269726294056,4.877332563036184,medium,0
2.403950683025824,1.7932098787902233,496,4,0.9211471375918331,0.6170529931773886,1,14.311924966714365,4.078106207390748,high,1
1.5227525095137953,7.991185934877676,14,0,0.8841119539004179,0.7983517154639768,0,20.620895859752824,3.0728456830458315,medium,1
8.795585311974417,8.627928697492628,411,5,0.09799474202971303,0.8758740586004453,0,16.990516902427355,4.310039972564459,low,1
6.41003510568888,2.6363588755360485,123,8,0.6342974105203304,0.510104940653566,0,13.26080796207309,4.4315161723322944,medium,1
7.372653200164409,4.873118791349804,83,0,0.8080989804935118,0.4902951934841613,1,14.64414144966081,3.1780905237131156,low,1
1.185260448662222,2.4894979719729005,159,7,0.8355746895770949,0.6215957709446978,0,12.914138522615152,4.748629942719527,low,1
9.72918866945795,7.35943716094796,494,7,0.5779071425018961,0.7292075892298131,0,23.3332465162463,1.1206807722279613,high,0
8.491983767203795,5.818129912554911,329,2,0.017495547486169105,0.3561711724418746,1,19.678149128005668,1.0403840393141506,critical,0
2.9110519961044856,6.717910120374889,102,8,0.9737129016417351,0.5046418833662284,0,18.860014561926995,1.3258374566586917,high,1
2.636424704863906,2.7683827026059005,337,7,0.4721967027581214,0.5851041858231734,0,12.6572311912977,1.2314308618138066,low,1
2.650640588680904,2.9057127584717755,83,2,0.3935958952735982,0.9883780838359111,0,8.29752225288422,2.6984439511288034,medium,1
3.7381801866358395,1.3734759295891572,44,9,0.39494871367726303,0.5877121964559167,1,0.9585812169373723,4.761284415687947,critical,1
5.72280788469014,3.8986078167615674,68,4,0.4241508800582665,0.22418655074225668,0,1.520605572453417,3.7008941999677454,high,1
4.887505167779042,6.037701952003075,48,2,0.242180718172753,0.5879898582402607,1,1.2105912413174535,3.6378114449778267,critical,1
3.6210622617823773,8.721414225975959,57,4,0.3273336257498298,0.8194995829490181,0,23.541204019276545,2.5395441693475185,medium,0
